name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Rodrigo,Centre-Forward,29,40000000,Spain,LaLiga,Valencia CF,England,Premier League,Leeds United,30000000
Alex Telles,Left-Back,27,40000000,Portugal,Liga NOS,FC Porto,England,Premier League,Manchester United,15000000
Álvaro Morata,Centre-Forward,27,36000000,England,Premier League,Chelsea FC,Spain,LaLiga,Atlético Madrid,35000000
Álvaro Morata,Centre-Forward,27,36000000,Spain,LaLiga,Atlético Madrid,Italy,Serie A,Juventus FC,10000000
Wesley Fofana,Centre-Back,19,10000000,France,Ligue 1,AS Saint-Étienne,England,Premier League,Leicester City,35000000
Sandro Tonali,Defensive Midfield,20,32000000,Italy,Serie B,Brescia Calcio,Italy,Serie A,AC Milan,10000000
Mattéo Guendouzi,Central Midfield,21,32000000,England,Premier League,Arsenal FC,Germany,Bundesliga,Hertha BSC,1000000
Ante Rebic,Left Winger,27,32000000,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,AC Milan,?
James Rodríguez,Attacking Midfield,29,32000000,Spain,LaLiga,Real Madrid,England,Premier League,Everton FC,Free transfer
Trincão,Right Winger,20,16000000,Portugal,Liga NOS,SC Braga,Spain,LaLiga,FC Barcelona,31000000
Ollie Watkins,Centre-Forward,24,12000000,England,Championship,Brentford FC,England,Premier League,Aston Villa,30000000
Sergio Reguilón,Left-Back,23,25000000,Spain,LaLiga,Real Madrid,England,Premier League,Tottenham Hotspur,30000000
Takefusa Kubo,Right Winger,19,30000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Villarreal CF,2000000
Lucas Torreira,Defensive Midfield,24,30000000,England,Premier League,Arsenal FC,Spain,LaLiga,Atlético Madrid,Loan
Allan,Central Midfield,29,28000000,Italy,Serie A,SSC Napoli,England,Premier League,Everton FC,25000000
Éverton,Left Winger,24,28000000,Brazil,Série A,Grêmio Foot-Ball Porto Alegrense,Portugal,Liga NOS,SL Benfica,20000000
Kevin Volland,Centre-Forward,28,28000000,Germany,Bundesliga,Bayer 04 Leverkusen,Monaco,Ligue 1,AS Monaco,15000000
Luis Suárez,Centre-Forward,33,28000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Atlético Madrid,Free transfer
Gareth Bale,Right Winger,31,28000000,Spain,LaLiga,Real Madrid,England,Premier League,Tottenham Hotspur,Loan
Ben Godfrey,Centre-Back,22,16000000,England,Championship,Norwich City,England,Premier League,Everton FC,27000000
Jonathan David,Attacking Midfield,20,25000000,Belgium,Jupiler Pro League,KAA Gent,France,Ligue 1,LOSC Lille,27000000
Yannick Carrasco,Left Winger,27,22000000,China,Super League,Dalian Professional,Spain,LaLiga,Atlético Madrid,27000000
Patrik Schick,Centre-Forward,24,25000000,Italy,Serie A,AS Roma,Germany,Bundesliga,Bayer 04 Leverkusen,26000000
Rhian Brewster,Centre-Forward,20,5000000,England,Premier League,Liverpool FC,England,Premier League,Sheffield United,26000000
Jérémy Doku,Right Winger,18,9000000,Belgium,Jupiler Pro League,RSC Anderlecht,France,Ligue 1,Stade Rennais FC,26000000
Gabriel,Centre-Back,22,20000000,France,Ligue 1,LOSC Lille,England,Premier League,Arsenal FC,26000000
Tiemoué Bakayoko,Defensive Midfield,26,25000000,England,Premier League,Chelsea FC,Italy,Serie A,SSC Napoli,2000000
Emre Can,Defensive Midfield,26,24000000,Italy,Serie A,Juventus FC,Germany,Bundesliga,Borussia Dortmund,25000000
Mario Pasalic,Central Midfield,25,25000000,England,Premier League,Chelsea FC,Italy,Serie A,Atalanta BC,15000000
Marash Kumbulla,Centre-Back,20,25000000,Italy,Serie A,Hellas Verona,Italy,Serie A,AS Roma,3000000
Moise Kean,Centre-Forward,20,25000000,England,Premier League,Everton FC,France,Ligue 1,Paris Saint-Germain,Loan
Ryan Sessegnon,Left-Back,20,25000000,England,Premier League,Tottenham Hotspur,Germany,Bundesliga,TSG 1899 Hoffenheim,Loan
Felipe Anderson,Left Winger,27,25000000,England,Premier League,West Ham United,Portugal,Liga NOS,FC Porto,Loan
Edouard Mendy,Goalkeeper,28,7000000,France,Ligue 1,Stade Rennais FC,England,Premier League,Chelsea FC,24000000
Timothy Castagne,Right-Back,24,18000000,Italy,Serie A,Atalanta BC,England,Premier League,Leicester City,24000000
Darwin Núñez,Centre-Forward,21,10000000,Spain,LaLiga2,UD Almería,Portugal,Liga NOS,SL Benfica,24000000
Jordan Veretout,Central Midfield,27,24000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,AS Roma,16000000
André Silva,Centre-Forward,24,24000000,Italy,Serie A,AC Milan,Germany,Bundesliga,Eintracht Frankfurt,9000000
Danilo Pereira,Defensive Midfield,29,24000000,Portugal,Liga NOS,FC Porto,France,Ligue 1,Paris Saint-Germain,4000000
Thomas Meunier,Right-Back,29,24000000,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Borussia Dortmund,Free transfer
Ruben Loftus-Cheek,Central Midfield,24,24000000,England,Premier League,Chelsea FC,England,Premier League,Fulham FC,Loan
