name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,iso_from,iso_to
Karim Rekik,Centre-Back,25,8000000,Germany,Bundesliga,Hertha BSC,Spain,LaLiga,Sevilla FC,2000000,DEU,ESP
Guus Til,Attacking Midfield,22,8000000,Russia,Premier Liga,Spartak Moscow,Germany,Bundesliga,SC Freiburg,450000,RUS,DEU
Caio Henrique,Left-Back,23,1000000,Spain,LaLiga,Atlético Madrid,Monaco,Ligue 1,AS Monaco,8000000,ESP,MCO
Yann Karamoh,Right Winger,22,7000000,Italy,Serie A,Inter Milan,Italy,Serie A,Parma Calcio 1913,8000000,ITA,ITA
Terem Moffi,Centre-Forward,21,3000000,Belgium,Jupiler Pro League,KV Kortrijk,France,Ligue 1,FC Lorient,8000000,BEL,FRA
Pablo Marí,Centre-Back,27,4000000,Brazil,Série A,Clube de Regatas do Flamengo,England,Premier League,Arsenal FC,8000000,BRA,GBR
Robson Bambu,Centre-Back,22,800000,Brazil,Série A,Club Athletico Paranaense,France,Ligue 1,OGC Nice,8000000,BRA,FRA
Abel Ruiz,Centre-Forward,20,4000000,Spain,2ª B - Grupo III,FC Barcelona B,Portugal,Liga NOS,SC Braga,8000000,ESP,PRT
Mohamed Fares,Left Midfield,24,7000000,Italy,Serie B,SPAL,Italy,Serie A,SS Lazio,8000000,ITA,ITA
Bruno Fuchs,Centre-Back,21,1000000,Brazil,Série A,Sport Club Internacional,Russia,Premier Liga,CSKA Moscow,8000000,BRA,RUS
